Position,Short_Name,NFRC_ID,manufacturer
Outer,Generic Clear 3mm,102,Generic
Inner,Generic Clear 3mm,102,Generic
Outer,Generic Clear 4mm,119,Generic
Inner,Generic Clear 4mm,119,Generic
Outer,Generic Clear 5mm,120,Generic
Inner,Generic Clear 5mm,120,Generic
Outer,Generic Clear 6mm,103,Generic
Inner,Generic Clear 6mm,103,Generic
Inner,i89 on 3.0mm Clear,2159,Cardinal
Inner,i89 on 4.0mm Clear,2160,Cardinal
Inner,i89 on 5.0mm Clear,2161,Cardinal
Inner,i89 on 6.0mm Clear,2162,Cardinal
Outer,LoE 180 on 3mm Clear,2191,Cardinal
Inner,LoE 180 on 3mm Clear,2191,Cardinal
Outer,LoE 180 on 4mm Clear,2192,Cardinal
Inner,LoE 180 on 4mm Clear,2192,Cardinal
Outer,LoE 180 on 5mm Clear,2193,Cardinal
Inner,LoE 180 on 5mm Clear,2193,Cardinal
Outer,LoE 180 on 6mm Clear,2194,Cardinal
Inner,LoE 180 on 6mm Clear,2194,Cardinal
Inner,LoE 272 on 3.0mm Clear,2011,Cardinal
Outer,LoE 272 on 3.0mm Clear,2011,Cardinal
Inner,LoE 272 on 4.0mm Clear,2012,Cardinal
Outer,LoE 272 on 4.0mm Clear,2012,Cardinal
Inner,LoE 272 on 5.0mm Clear,2013,Cardinal
Outer,LoE 272 on 5.0mm Clear,2013,Cardinal
Inner,LoE 272 on 6.0mm Clear,2014,Cardinal
Outer,LoE 366 on 3mm Clear,2154,Cardinal
Outer,LoE 366 on 4mm Clear,2155,Cardinal
Inner,LoE 366 on 4mm Clear,2155,Cardinal
Outer,LoE 366 on 5mm Clear,2156,Cardinal
Inner,LoE 366 on 5mm Clear,2156,Cardinal
Outer,LoE 366 on 6mm Clear,2157,Cardinal
Inner,LoE 366 on 6mm Clear,2157,Cardinal
Outer,LoE270 on 6mm Clear,2014,Cardinal
Outer,LoE272 on 3mm Clear,2011,Cardinal
Inner,LoE272 on 3mm Clear,2011,Cardinal
Outer,LoE272 on 4mm Clear,2012,Cardinal
Inner,LoE272 on 4mm Clear,2012,Cardinal
Outer,LoE272 on 5mm Clear,2013,Cardinal
Inner,LoE272 on 5mm Clear,2013,Cardinal
Outer,LoE272 on 6mm Clear,2014,Cardinal
Inner,LoE272 on 6mm Clear,2014,Cardinal
Inner,ClimaGuard 62/27,3416,Guardian
Outer,ClimaGuard 62/27,3416,Guardian
Inner,ClimaGuard 62/27,3420,Guardian
Outer,ClimaGuard 62/27,3420,Guardian
Inner,ClimaGuard IS-20,3290,Guardian
Inner,ClimaGuard IS-20,3291,Guardian
Inner,ClimaGuard IS-20,3293,Guardian
Inner,ClimaGuard IS-20,3292,Guardian
Inner,ClimaGuard 62/27,26126,Guardian
Outer,ClimaGuard 62/27,26126,Guardian
Inner,ClimaGuard 62/27,3119,Guardian
Outer,ClimaGuard 62/27,3119,Guardian
Inner,ClimaGuard IS-15,3327,Guardian
Inner,ClimaGuard IS-15,3328,Guardian
Inner,ClimaGuard IS-15,3329,Guardian
Inner,ClimaGuard IS-15,3330,Guardian
Inner,ClimaGuard SGSN68,26360,Guardian
Outer,ClimaGuard SGSN68,26360,Guardian
Inner,ClimaGuard SGSNE50,26363,Guardian
Outer,ClimaGuard SGSNE50,26363,Guardian
Inner,ClimaGuard SNX5123,26366,Guardian
Outer,ClimaGuard SNX5123,26366,Guardian
Inner,ClimaGuard SGSNR50,26369,Guardian
Outer,ClimaGuard SGSNR50,26369,Guardian
Inner,ClimaGuard SNX6227,26372,Guardian
Outer,ClimaGuard SNX6227,26372,Guardian
Outer,Energy Advantage™ Low-E 3mm,9921,Pilkington
Inner,Energy Advantage™ Low-E 3mm,9921,Pilkington
Inner,Energy Advantage™ Low-E 5mm,9923,Pilkington
Outer,Energy Advantage™ Low-E 5mm,9923,Pilkington
Inner,Energy Advantage™ Low-E 6mm,9924,Pilkington
Outer,Energy Advantage™ Low-E 6mm,9924,Pilkington
